,Console Name,Type,Company,Released Year,Discontinuation Year,Units sold (million)
0,PlayStation 2,Home,Sony,2000,2013,155.0
1,Nintendo DS,Handheld,Nintendo,2004,2013,154.02
2,Nintendo Switch,Hybrid,Nintendo,2017,0,122.55
3,Game Boy,Handheld,Nintendo,1989,2003,64.42
4,Game Boy Color,Handheld,Nintendo,1998,2003,44.06
5,PlayStation 4,Home,Sony,2013,0,117.2
6,PlayStation,Home,Sony,1994,2006,102.49
7,Wii,Home,Nintendo,2006,2013,101.63
8,PlayStation 3,Home,Sony,2006,2017,87.4
9,Xbox 360,Home,Microsoft,2005,2016,84.0
10,Game Boy Advance,Handheld,Nintendo,2001,2010,81.51
11,PlayStation Portable,Handheld,Sony,2004,2014,82.0
12,Nintendo 3DS,Handheld,Nintendo,2011,2020,75.94
13,NES/Famicom,Home,Nintendo,1983,2003,61.91
14,Xbox One,Home,Microsoft,2013,2020,58.5
15,SNES/Super Famicom,Home,Nintendo,1990,2003,49.1
16,Game & Watch,Handheld,Nintendo,1980,1991,43.4
17,Nintendo 64,Home,Nintendo,1996,2002,32.93
18,Sega Genesis/Mega Drive,Home,Sega,1988,1997,30.75
19,PlayStation 5,Home,Sony,2020,0,30.0
20,Atari 2600,Home,Atari,1977,1992,30.0
21,Xbox,Home,Microsoft,2001,2009,24.0
22,GameCube,Home,Nintendo,2001,2007,21.74
23,Xbox Series X/S,Home,Microsoft,2020,0,18.5
24,Wii U,Home,Nintendo,2012,2017,13.56
25,PlayStation Vita,Handheld,Sony,2011,2019,15.0
26,Sega Master System,Home,Sega,1986,1996,13.0
27,Sega Game Gear,Handheld,Sega,1990,1997,10.62
28,PC Engine/TurboGrafx-16,Home,NEC/Hudson Soft[note 6],1987,1994,10.0
29,Sega Saturn,Home,Sega,1994,2000,9.26
30,Dreamcast,Home,Sega,1998,2001,9.13
31,Master System(Brazilian variants),Home,Tectoy,1989,1996,8.0
32,Dendy(Famiclone),Home,Micro Genius,1992,1998,6.0
33,Super NES Classic Edition,Dedicated,Nintendo,2017,2018,5.28
34,Famicom Disk System,Home console add-on,Nintendo,1986,1992,4.5
35,NES Classic Edition,Dedicated,Nintendo,2016,2018,3.56
36,WonderSwan,Handheld,Bandai,1999,2018,3.5
37,Sega Pico,Home,Sega,1993,1998,3.4
38,Color TV-Game,Dedicated,Nintendo,1977,1980,3.0
39,Intellivision,Home,Mattel,1980,1990,3.0
40,Mega Drive(Brazilian variants),Home,Tectoy,1990,1996,3.0
41,N-Gage,Handheld,Nokia,2003,2005,3.0
42,Sega CD,Home console add-on,Sega,1991,1996,2.24
43,ColecoVision,Home,Coleco,1982,1985,2.0
44,Magnavox Odyssey,Home,Magnavox/Philips,1978,1975,2.0
45,PC Engine CD-ROM,Home console add-on,NEC,1988,1998,1.92
46,Atari 7800,Home,Atari,1986,1991,1.0
47,Atari Lynx,Handheld,Atari,1989,1995,1.0
48,Philips CD-i,Home,Philips,1990,1998,1.0
49,Telstar,Dedicated,Coleco,1976,1978,1.0
50,Atari 5200,Home,Atari,1982,1984,1.0
